IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
47.237.95.156,8080,FALSE,SIN,Asia Pacific,Singapore,240 ms,6102 kB/s
47.236.87.246,2052,FALSE,SIN,Asia Pacific,Singapore,221 ms,6102 kB/s
47.236.171.205,2082,FALSE,SIN,Asia Pacific,Singapore,221 ms,6098 kB/s
47.236.168.17,2082,FALSE,SIN,Asia Pacific,Singapore,220 ms,6087 kB/s
8.222.174.108,2052,FALSE,SIN,Asia Pacific,Singapore,215 ms,6081 kB/s
47.236.169.164,8880,FALSE,SIN,Asia Pacific,Singapore,240 ms,6080 kB/s
47.237.100.206,2086,FALSE,SIN,Asia Pacific,Singapore,212 ms,6058 kB/s
8.222.174.108,8080,FALSE,SIN,Asia Pacific,Singapore,236 ms,6048 kB/s
47.236.10.100,2095,FALSE,SIN,Asia Pacific,Singapore,218 ms,6027 kB/s
8.222.174.108,8880,FALSE,SIN,Asia Pacific,Singapore,220 ms,6014 kB/s
47.237.95.146,2086,FALSE,SIN,Asia Pacific,Singapore,251 ms,5948 kB/s
47.236.169.141,8080,FALSE,SIN,Asia Pacific,Singapore,214 ms,5947 kB/s
47.236.97.90,80,FALSE,SIN,Asia Pacific,Singapore,227 ms,5942 kB/s
47.236.172.95,8880,FALSE,SIN,Asia Pacific,Singapore,211 ms,5907 kB/s
47.237.95.140,2095,FALSE,SIN,Asia Pacific,Singapore,226 ms,5887 kB/s
47.236.146.249,2052,FALSE,SIN,Asia Pacific,Singapore,218 ms,5885 kB/s
47.236.87.246,2086,FALSE,SIN,Asia Pacific,Singapore,233 ms,5868 kB/s
47.237.100.206,8880,FALSE,SIN,Asia Pacific,Singapore,211 ms,5867 kB/s
47.236.237.90,2095,FALSE,SIN,Asia Pacific,Singapore,207 ms,5851 kB/s
47.76.204.76,2082,FALSE,HKG,Asia Pacific,Hong Kong,63 ms,5845 kB/s
47.236.146.249,2086,FALSE,SIN,Asia Pacific,Singapore,239 ms,5836 kB/s
47.236.117.48,80,FALSE,SIN,Asia Pacific,Singapore,228 ms,5817 kB/s
47.238.6.102,2086,FALSE,HKG,Asia Pacific,Hong Kong,65 ms,5801 kB/s
47.236.150.13,80,FALSE,SIN,Asia Pacific,Singapore,243 ms,5776 kB/s
47.236.168.17,2086,FALSE,SIN,Asia Pacific,Singapore,214 ms,5776 kB/s
47.237.95.146,2095,FALSE,SIN,Asia Pacific,Singapore,226 ms,5763 kB/s
47.236.202.91,2086,FALSE,SIN,Asia Pacific,Singapore,239 ms,5752 kB/s
47.236.10.100,8080,FALSE,SIN,Asia Pacific,Singapore,210 ms,5747 kB/s
47.236.104.11,2086,FALSE,SIN,Asia Pacific,Singapore,239 ms,5734 kB/s
47.236.5.223,80,FALSE,SIN,Asia Pacific,Singapore,215 ms,5733 kB/s
47.236.205.188,8080,FALSE,SIN,Asia Pacific,Singapore,217 ms,5730 kB/s
47.237.83.20,2082,FALSE,SIN,Asia Pacific,Singapore,219 ms,5725 kB/s
47.236.146.249,8880,FALSE,SIN,Asia Pacific,Singapore,218 ms,5724 kB/s
8.219.87.30,2095,FALSE,SIN,Asia Pacific,Singapore,212 ms,5719 kB/s
47.236.169.15,2082,FALSE,SIN,Asia Pacific,Singapore,251 ms,5689 kB/s
47.236.104.11,8080,FALSE,SIN,Asia Pacific,Singapore,208 ms,5686 kB/s
47.237.86.185,80,FALSE,SIN,Asia Pacific,Singapore,209 ms,5684 kB/s
47.236.205.188,2052,FALSE,SIN,Asia Pacific,Singapore,217 ms,5672 kB/s
47.236.83.239,2052,FALSE,SIN,Asia Pacific,Singapore,217 ms,5665 kB/s
47.237.81.112,8080,FALSE,SIN,Asia Pacific,Singapore,222 ms,5654 kB/s
47.236.87.246,2082,FALSE,SIN,Asia Pacific,Singapore,240 ms,5646 kB/s
47.237.83.20,2095,FALSE,SIN,Asia Pacific,Singapore,210 ms,5635 kB/s
47.236.144.208,2095,FALSE,SIN,Asia Pacific,Singapore,220 ms,5623 kB/s
47.236.10.100,2086,FALSE,SIN,Asia Pacific,Singapore,216 ms,5621 kB/s
47.236.144.208,2086,FALSE,SIN,Asia Pacific,Singapore,214 ms,5616 kB/s
47.236.9.152,8880,FALSE,SIN,Asia Pacific,Singapore,216 ms,5610 kB/s
47.236.75.113,8080,FALSE,SIN,Asia Pacific,Singapore,220 ms,5605 kB/s
47.236.166.131,8080,FALSE,SIN,Asia Pacific,Singapore,215 ms,5601 kB/s
47.236.17.193,2086,FALSE,SIN,Asia Pacific,Singapore,225 ms,5601 kB/s
47.237.14.220,2086,FALSE,SIN,Asia Pacific,Singapore,223 ms,5597 kB/s
47.236.121.23,2052,FALSE,SIN,Asia Pacific,Singapore,218 ms,5597 kB/s
47.236.5.223,8080,FALSE,SIN,Asia Pacific,Singapore,225 ms,5575 kB/s
47.236.144.196,2095,FALSE,SIN,Asia Pacific,Singapore,214 ms,5566 kB/s
47.236.169.15,80,FALSE,SIN,Asia Pacific,Singapore,237 ms,5556 kB/s
47.236.123.133,2086,FALSE,SIN,Asia Pacific,Singapore,215 ms,5528 kB/s
47.236.171.205,8080,FALSE,SIN,Asia Pacific,Singapore,219 ms,5520 kB/s
47.236.237.90,80,FALSE,SIN,Asia Pacific,Singapore,212 ms,5515 kB/s
47.236.10.182,2086,FALSE,SIN,Asia Pacific,Singapore,228 ms,5515 kB/s
47.237.95.140,2082,FALSE,SIN,Asia Pacific,Singapore,219 ms,5502 kB/s
47.236.145.85,80,FALSE,SIN,Asia Pacific,Singapore,219 ms,5499 kB/s
47.236.149.107,8880,FALSE,SIN,Asia Pacific,Singapore,243 ms,5487 kB/s
47.236.97.90,8880,FALSE,SIN,Asia Pacific,Singapore,215 ms,5478 kB/s
47.236.97.90,2095,FALSE,SIN,Asia Pacific,Singapore,233 ms,5460 kB/s
47.237.86.185,2052,FALSE,SIN,Asia Pacific,Singapore,209 ms,5458 kB/s
47.237.0.31,2095,FALSE,SIN,Asia Pacific,Singapore,220 ms,5452 kB/s
47.236.144.156,2095,FALSE,SIN,Asia Pacific,Singapore,222 ms,5447 kB/s
47.236.171.205,2086,FALSE,SIN,Asia Pacific,Singapore,212 ms,5446 kB/s
47.236.165.25,8080,FALSE,SIN,Asia Pacific,Singapore,218 ms,5424 kB/s
47.236.10.182,8080,FALSE,SIN,Asia Pacific,Singapore,223 ms,5395 kB/s
47.237.95.156,2095,FALSE,SIN,Asia Pacific,Singapore,213 ms,5385 kB/s
47.236.17.193,8880,FALSE,SIN,Asia Pacific,Singapore,223 ms,5377 kB/s
47.236.87.246,80,FALSE,SIN,Asia Pacific,Singapore,234 ms,5372 kB/s
47.236.83.239,80,FALSE,SIN,Asia Pacific,Singapore,222 ms,5364 kB/s
8.219.201.245,80,FALSE,SIN,Asia Pacific,Singapore,231 ms,5359 kB/s
47.236.169.15,2086,FALSE,SIN,Asia Pacific,Singapore,245 ms,5341 kB/s
47.237.94.140,80,FALSE,SIN,Asia Pacific,Singapore,226 ms,5338 kB/s
47.236.202.91,2095,FALSE,SIN,Asia Pacific,Singapore,221 ms,5332 kB/s
47.236.9.152,2086,FALSE,SIN,Asia Pacific,Singapore,221 ms,5320 kB/s
47.236.9.152,80,FALSE,SIN,Asia Pacific,Singapore,253 ms,5318 kB/s
47.236.75.113,2082,FALSE,SIN,Asia Pacific,Singapore,230 ms,5318 kB/s
47.236.169.141,2052,FALSE,SIN,Asia Pacific,Singapore,211 ms,5315 kB/s
